Date of Interest,Case Count,Bronx,Brooklyn,Manhattan,Queens,Staten Island
01/23/2021,3277,663,909,460,1000,245
01/24/2021,2855,490,891,380,916,178
01/25/2021,5655,1153,1713,810,1620,357
01/26/2021,4694,990,1366,687,1370,281
01/27/2021,4782,965,1450,708,1379,280
01/28/2021,4675,959,1408,690,1349,268
01/29/2021,3677,734,1102,531,1076,234
01/30/2021,2855,556,862,356,917,163
01/31/2021,2892,549,881,332,912,218
02/01/2021,976,169,345,185,233,44
02/02/2021,2662,435,872,443,770,142
02/03/2021,5142,1093,1504,820,1404,321
02/04/2021,4858,1070,1388,704,1411,285
02/05/2021,4157,953,1243,538,1181,242
02/06/2021,3080,718,900,389,893,180
02/07/2021,1650,324,568,203,454,101
02/08/2021,4434,972,1346,609,1240,267
02/09/2021,3728,873,1087,517,1006,245
02/10/2021,3777,868,1058,569,1009,273
02/11/2021,3417,725,934,548,981,228
02/12/2021,3316,726,933,494,931,231
02/13/2021,2204,420,669,276,704,135
02/14/2021,1894,370,584,245,581,114
02/15/2021,2851,527,856,364,870,233
02/16/2021,3723,789,1110,610,1024,190
02/17/2021,3437,772,1006,543,920,196
02/18/2021,2046,383,591,409,553,110
02/19/2021,3020,618,856,461,857,228
02/20/2021,2495,510,681,347,785,172
02/21/2021,2282,359,794,312,666,151
02/22/2021,3614,750,1112,540,982,230
02/23/2021,3472,730,1074,533,933,201
02/24/2021,3459,711,1021,569,941,217
02/25/2021,3479,716,1025,514,963,261
02/26/2021,3240,673,945,517,889,216
02/27/2021,2012,376,623,248,627,138
02/28/2021,2035,329,732,252,574,148
03/01/2021,3728,728,1176,529,1034,261
03/02/2021,3108,562,935,495,861,255
03/03/2021,3239,637,954,521,861,266
03/04/2021,3121,575,933,496,862,253
03/05/2021,2887,554,887,401,809,236
03/06/2021,2043,331,594,260,686,172
03/07/2021,1877,291,598,238,603,147
03/08/2021,3401,624,1109,490,918,260
03/09/2021,3335,584,1083,527,908,233
03/10/2021,3202,562,956,517,906,261
03/11/2021,3105,544,964,465,920,212
03/12/2021,3206,573,936,486,967,244
03/13/2021,2171,328,625,284,757,177
03/14/2021,1923,249,642,224,659,149
03/15/2021,3391,563,1058,450,1094,226
03/16/2021,3193,570,988,490,932,213
03/17/2021,3173,516,942,505,943,267
03/18/2021,2919,498,855,447,888,231
03/19/2021,3049,545,905,435,897,267
03/20/2021,2158,334,662,267,734,160
03/21/2021,2084,289,709,231,681,174
03/22/2021,3866,652,1210,576,1109,318
03/23/2021,3238,565,1024,463,934,252
03/24/2021,3460,581,1046,527,1017,289
03/25/2021,3793,637,1148,582,1131,295
03/26/2021,3420,567,1000,497,1047,309
03/27/2021,2217,362,632,268,741,214
03/28/2021,1749,252,577,222,545,153
03/29/2021,3540,622,1040,481,1086,311
03/30/2021,3167,589,939,466,926,247
03/31/2021,3176,506,959,512,938,261
04/01/2021,2857,499,859,445,827,227
04/02/2021,2618,360,848,380,809,221
04/03/2021,2045,312,636,232,664,201
04/04/2021,1469,191,499,181,456,142
04/05/2021,3273,506,1043,468,970,286
04/06/2021,3002,499,932,463,861,247
04/07/2021,2762,467,868,414,786,227
04/08/2021,2566,416,814,322,778,236
04/09/2021,2470,357,803,321,734,255
04/10/2021,1724,232,564,196,584,148
04/11/2021,1316,179,462,148,397,130
04/12/2021,2535,404,856,334,736,205
04/13/2021,2359,385,774,341,692,167
04/14/2021,2245,348,724,320,638,215
04/15/2021,2015,354,637,280,563,181
04/16/2021,1837,260,598,228,567,184
04/17/2021,1272,209,411,128,409,115
04/18/2021,1052,164,361,126,295,106
04/19/2021,1889,288,641,234,544,182
04/20/2021,1599,285,514,222,431,147
04/21/2021,1414,208,509,181,385,131
04/22/2021,1360,226,488,143,376,127
04/23/2021,1288,215,439,132,368,134
04/24/2021,849,121,306,88,255,79
04/25/2021,756,98,270,73,246,69
04/26/2021,1363,224,497,165,355,121
04/27/2021,1137,204,392,144,299,98
04/28/2021,1210,190,417,132,360,111
04/29/2021,1053,153,391,152,267,90
04/30/2021,958,170,326,106,277,79
05/01/2021,558,85,183,58,174,58
05/02/2021,554,73,212,47,162,60
05/03/2021,907,147,312,118,259,71
05/04/2021,854,150,294,99,232,79
05/05/2021,758,136,238,110,214,60
05/06/2021,754,128,265,92,215,54
05/07/2021,697,134,221,78,187,77
05/08/2021,374,59,119,40,119,37
05/09/2021,329,50,101,46,107,25
05/10/2021,642,125,206,88,173,50
05/11/2021,613,87,212,65,186,63
05/12/2021,579,107,190,64,151,67
05/13/2021,498,89,139,73,147,49
05/14/2021,472,73,142,56,157,44
05/15/2021,284,46,92,32,95,19
05/16/2021,274,46,96,31,83,18
05/17/2021,447,78,150,70,112,37
05/18/2021,401,67,137,57,99,41
05/19/2021,365,74,123,40,101,27
05/20/2021,381,64,131,49,105,32
05/21/2021,345,54,112,48,104,27
05/22/2021,228,34,80,26,67,21
05/23/2021,176,26,60,16,51,23
05/24/2021,343,52,99,50,95,47
05/25/2021,300,44,101,37,82,36
05/26/2021,240,43,78,40,68,11
05/27/2021,248,56,58,37,65,32
05/28/2021,210,35,68,23,66,18
05/29/2021,127,23,32,23,40,9
05/30/2021,111,23,31,16,27,14
05/31/2021,106,14,33,15,35,9
06/01/2021,273,67,57,50,69,30
06/02/2021,226,47,67,28,63,21
06/03/2021,192,41,61,21,56,13
06/04/2021,214,55,61,30,44,24
06/05/2021,131,40,38,14,27,12
06/06/2021,125,22,35,21,31,16
06/07/2021,210,55,66,26,45,18
06/08/2021,167,38,55,21,37,16
06/09/2021,201,56,56,35,38,16
06/10/2021,147,32,44,27,32,12
06/11/2021,189,40,44,38,52,15
06/12/2021,123,25,28,16,39,15
06/13/2021,110,17,32,18,30,13
06/14/2021,171,37,54,25,44,11
06/15/2021,168,29,34,32,55,18
06/16/2021,170,29,46,30,41,24
06/17/2021,170,33,48,22,45,22
06/18/2021,153,18,57,13,45,20
06/19/2021,99,18,26,19,22,14
06/20/2021,94,13,32,14,26,9
06/21/2021,160,25,40,24,47,24
06/22/2021,155,18,49,28,43,17
06/23/2021,184,29,47,37,48,23
06/24/2021,157,16,46,28,39,28
06/25/2021,169,13,58,29,45,24
06/26/2021,114,11,34,15,30,24
06/27/2021,107,17,30,16,22,22
06/28/2021,198,28,49,41,50,30
06/29/2021,196,28,50,40,48,30
06/30/2021,146,21,42,33,30,20
07/01/2021,130,20,42,21,26,21
07/02/2021,202,27,54,51,54,16
07/03/2021,108,15,33,17,22,21
07/04/2021,76,6,20,14,27,9
